ENDOVENOSOS (SOROS): NOMENCLATURA UNIVERSAL V4.0,,,,,,,
#,CODIGO V4.0,NOME REAL,B1,B2,B3,B4 (NICK),CODIGO ANTIGO
1,ENDO SORO TERA AMIN 0001,SORO AMINOACIDOS ESSENCIAIS,ENDO,SORO,TERA,AMIN,ENDO NUTR AMIN 001
2,ENDO SORO TERA ANT3 0001,SORO ANTIINFLAMATORIO MODULADOR,ENDO,SORO,TERA,ANT3,ENDO INFL MODU 001
3,ENDO SORO TERA OXID 0001,SORO ANTIOXIDANTE PADRAO,ENDO,SORO,TERA,OXID,ENDO NUTR OXID 001
4,ENDO SORO TERA DETO 0001,SORO DETOX HEPATICO,ENDO,SORO,TERA,DETO,ENDO HEPA DETO 001
5,ENDO SORO TERA COGN 0001,SORO FOCO COGNITIVO,ENDO,SORO,TERA,COGN,ENDO NEUR FOCO 001
6,ENDO SORO TERA IMUN 0001,SORO IMUNIDADE BASE,ENDO,SORO,TERA,IMUN,ENDO IMUN BASE 001
7,ENDO SORO TERA META 0001,SORO METABOLICO EMAGRECIMENTO,ENDO,SORO,TERA,META,ENDO META EMAG 001
8,ENDO SORO TERA MITO 0001,SORO MITOCONDRIAL LONGEVIDADE,ENDO,SORO,TERA,MITO,ENDO MITO LONG 001
9,ENDO SORO TERA PELE 0001,SORO PELE CABELO UNHAS,ENDO,SORO,TERA,PELE,ENDO BELE SUPR 001
10,ENDO SORO TERA ENER 0001,SORO PERFORMANCE ENERGETICO,ENDO,SORO,TERA,ENER,ENDO PERF ENER 001
11,ENDO SORO TERA RECU 0001,SORO RECUPERACAO MUSCULAR,ENDO,SORO,TERA,RECU,ENDO PERF RECU 001
