DICIONARIO DE NICKS (B4): CORRELACAO ALFABETICA COM NOME REAL,,,
#,NICK (B4),NOME REAL,DOMINIO
1,001,OBESIDADE,DOEN
2,17OH,17 OH PROGESTERONA,EXAM
3,5HTP,5 HTP (OH-TRIPTOFANO) (20 MG),INJE
4,AALP,ACIDO ALFA LIPOICO (10 MG),INJE
5,ACI1,ACIDO HIALURONICO (10 MG),INJE
6,ACID,ACIDO GLICOLICO (20 MG),INJE
7,ACLG,ANTICARDIOLIPINA IGG,EXAM
8,ACLM,ANTICARDIOLIPINA IGM,EXAM
9,ACTH,ACTH,EXAM
10,ADE1,ADEK 600000UI (1300 MCG),INJE
11,ADEK,ADEK 100000UI (1300 MCG),INJE
12,ADNA,ANTI DNA,EXAM
13,ADNX,ADN (60 MG),INJE
14,AFOL,FOLATO,EXAM
15,AFPX,AFP,EXAM
16,AHBC,ANTI HBc TOTAL,EXAM
17,AHBS,ANTI HBs,EXAM
18,AHCV,ANTI HCV,EXAM
19,ALDO,ALDOSTERONA,EXAM
20,ALFA,ALFA GPC (400 MG),INJE
21,ALUM,ALUMINIO,EXAM
22,ALUP,ANTICOAGULANTE LUPICO,EXAM
23,AMIL,AMILASE,EXAM
24,AMIN,AMINOACIDOS ESSENCIAIS (35 MG),INJE
25,AMML,ACIDO METILMALONICO,EXAM
26,ANAS,ANASTROZOL PELLET,IMPL
27,ANCC,ANCA C,EXAM
28,ANCP,ANCA P,EXAM
29,ANGI,ANGIOTOMOGRAFIA,EXAM
30,ANGR,ANGIORRESSONANCIA,EXAM
31,ANSM,ANTI SM,EXAM
32,ANT1,ANTI RNP,EXAM
33,ANT2,ANTI SCL 70,EXAM
34,ANT3,SORO ANTIINFLAMATORIO MODULADOR,ENDO
35,ANTC,ANGIOTOMOGRAFIA CORONARIANA,EXAM
36,ANTI,ANTI JO 1,EXAM
37,ANUS,ANUSCOPIA,EXAM
38,APOB,APOLIPOPROTEINA B,EXAM
39,APOC,APO C III,EXAM
40,APOE,APOE,EXAM
41,ARGI,L-ARGININA (1 G),INJE
42,ARSE,ARSENIO,EXAM
43,ASIA,ASIATICOSIDE (2 MG),INJE
44,ASSA,ANTI SSA RO,EXAM
45,ASSB,ANTI SSB LA,EXAM
46,AT3X,ANTITROMBINA III,EXAM
47,ATPO,ANTI TPO,EXAM
